OBJECTID,AREA_CAL,AREA_BMA,PERIMETER,ADMIN_ID,SUBDISTRIC,SUBDISTR_1,DISTRICT_I,DISTRICT_N,CHANGWAT_I,CHANGWAT_N,Shape_Leng,Shape_Area
144,1.214,1.251,11121.0082295,7,101901,คลองชักพระ,1019,ตลิ่งชัน,10,กรุงเทพมหาน,11148.2366759,1214370.34583
145,0.923,0.909,5987.60802308,7,102210,คูหาสวรรค์,1022,ภาษีเจริญ,10,กรุงเทพมหาน,5993.08596144,922575.123776
146,14.644,36.803,26895.2541352,1,103605,สนามบิน,1036,ดอนเมือง,10,กรุงเทพมหาน,19191.3290779,14655790.2973
147,11.575,36.803,26895.2541352,1,103602,สีกัน,1036,ดอนเมือง,10,กรุงเทพมหาน,15612.8523616,11574633.4408
148,10.738,36.803,26895.2541352,1,103604,ดอนเมือง,1036,ดอนเมือง,10,กรุงเทพมหาน,15582.9804329,10737897.5955
149,12.969,19.343,34794.9573865,7,104002,บางแคเหนือ,1040,บางแค,10,กรุงเทพมหาน,16640.2612663,12968514.2441
150,12.071,19.306,36669.4186499,8,104004,หลักสอง,1040,บางแค,10,กรุงเทพมหาน,14573.699354,12071153.2364
151,6.978,10.963,17111.4886499,5,104001,บางแค,1040,บางแค,10,กรุงเทพมหาน,11292.142838,6978392.51265
152,6.443,11.545,17890.7700972,1,102901,บางซื่อ,1029,บางซื่อ,10,กรุงเทพมหาน,10098.2149014,6443461.33795
153,6.484,11.545,17890.7700972,1,102902,วงศ์สว่าง,1029,บางซื่อ,10,กรุงเทพมหาน,13207.9126215,6483533.5092
154,6.833,19.865,19096.0339865,1,104504,พลับพลา,1045,วังทองหลาง,10,กรุงเทพมหาน,11805.989979,6832630.40035
155,3.602,19.865,19096.0339865,1,104503,คลองเจ้าคุณ,1045,วังทองหลาง,10,กรุงเทพมหาน,8317.12670248,3601614.46815
156,4.927,19.865,19096.0339865,1,104501,วังทองหลาง,1045,วังทองหลาง,10,กรุงเทพมหาน,10256.1983331,4927190.20331
157,1.718,19.865,19096.0339865,1,104502,สะพานสอง,1045,วังทองหลาง,10,กรุงเทพมหาน,7252.4206714,1718239.24761
159,12.883,25.98,27208.6506003,1,104302,รามอินทรา,1043,คันนายาว,10,กรุงเทพมหาน,24464.2999409,12776200.4759
160,12.739,25.98,27208.6506003,1,104301,คันนายาว,1043,คันนายาว,10,กรุงเทพมหาน,17599.8253518,12738648.2915
161,10.326,24.311,24582.2493751,1,102701,คลองกุ่ม,1027,บึงกุ่ม,10,กรุงเทพมหาน,14414.6296127,10325592.2734
162,4.75,24.311,24582.2493751,1,102704,นวมินทร์,1027,บึงกุ่ม,10,กรุงเทพมหาน,12683.5188695,4750196.94812
163,3.956,4.36,9442.33055831,6,102007,บางขุนศรี,1020,บางกอกน้อย,10,กรุงเทพมหาน,9402.23609691,3955804.00519
164,7.273,9.066,14404.4411553,2,102402,บางปะกอก,1024,ราษฎร์บูรณะ,10,กรุงเทพมหาน,14382.9240711,7272636.61689
165,5.274,5.183,13822.5814626,5,103504,จอมทอง,1035,จอมทอง,10,กรุงเทพมหาน,13808.2630246,5273793.29607
166,1.708,1.289,18921.21,15,101506,ดาวคะนอง,1015,ธนบุรี,10,กรุงเทพมหาน,6654.63728731,1711058.22206
167,1.4,1.21,18921.2055195,15,101504,บุคคโล,1015,ธนบุรี,10,กรุงเทพมหาน,5047.81770778,1399645.73096
168,1.03,4.256,29022.1006645,27,101503,บางยี่เรือ,1015,ธนบุรี,10,กรุงเทพมหาน,4785.3020638,1030320.50164
169,1.437,1.23,18921.21,15,101507,สำเหร่,1015,ธนบุรี,10,กรุงเทพมหาน,5771.89380923,1434350.43563
173,8.217,8.615,24582.2493751,1,102705,นวลจันทร์,1027,บึ่งกุ่ม,10,กรุงเทพมหาน,13275.9864442,8324230.79586
174,9.257,9.595,12016.9647947,1,101401,สามเสนใน,1014,พญาไท,10,กรุงเทพมหาน,9751.4553524,4573592.14542
175,34.004,34.745,31218.5975065,1,105004,คลองบางพราน,1050,บางบอน,10,กรุงเทพมหาน,11504.9071489,5237837.19908
176,34.004,34.745,31218.5975065,1,105005,คลองบางบอน,1050,บางบอน,10,กรุงเทพมหาน,12747.5848399,4994763.08382
177,34.004,34.745,31218.5975065,1,105003,คลองบางบอนใ,1050,บางบอน,10,กรุงเทพมหาน,13918.823551,8753693.25383
178,8.447,8.354,14390.7218431,1,102602,รัชดาภิเษก,1026,ดินแดง,10,กรุงเทพมหาน,10157.804992,3949216.34584
179,27.98,28.124,25314.7664144,1,104403,แขวงทับช้าง,1044,สะพานสูง,10,กรุงเทพมหาน,16569.55382,10932335.2651
180,13.176,13.986,16990.6112492,1,100910,พระโขนงใต้,1009,พระโขนง,10,กรุงเทพมหาน,8806.14112374,4765796.74469
181,19.031,18.789,20735.9712339,1,104701,บางนาเหนือ,1047,บางนา,10,กรุงเทพมหาน,16771.3994464,6525549.0897
182,24.354,23.678,24333.8506577,1,103402,อ่อนนุช,1034,สวนหลวง,10,กรุงเทพมหาน,15696.9596958,6058656.29466
183,24.354,23.678,24333.8506577,1,103401,สวนหลวง,1034,สวนหลวง,10,กรุงเทพมหาน,15678.9542271,9518943.22249
184,27.98,28.124,25314.7664144,1,104401,สะพานสูง,1044,สะพานสูง,10,กรุงเทพมหาน,11675.1253073,8089981.34043
189,10.509,11.396,15805.0858679,3,104604,ทรายกองดิน,1046,คลองสามวา,10,กรุงเทพมหาน,16118.3504741,11265091.1782
194,20.131,18.644,23238.6876355,5,104603,บางชัน,1046,คลองสามวา,10,กรุงเทพมหาน,23208.3535111,20134229.0499
195,24.354,23.678,24333.8506577,1,103403,พัฒนาการ,1034,สวนหลวง,10,กรุงเทพมหาน,13283.0819328,8776473.31848
